notation;title;description
1;to appeal;
2;to attract interest;
3;to comment;
4;to describe;
5;to evaluate;
6;to excuse;
7;to explain;
8;to express experiences/feelings;
9;to express opinions/viewpoints/preferences;
10;to give advice/ask for advice;
11;to give arguments;
12;to give directions;
13;to inform/to ask for information;
14;to instruct;
15;to invite;
16;to make arrangements;
17;to persuade/convince;
18;to provide support;
19;to state advantages/disadvantages;
20;to summarize;
21;to tell a story;
22;to thank/apologize;
23;instruktiv;
24;deskriptiv;
25;expositorisch;
26;argumentativ;
27;narrativ;
