notation;title;description
1;to appeal;;a381a57c-4000-11ee-bd1b-484d7ea9e46c
2;to attract interest;;a381a57d-4000-11ee-86c2-484d7ea9e46c
3;to comment;;a381a57e-4000-11ee-bc6c-484d7ea9e46c
4;to describe;;a381a57f-4000-11ee-accd-484d7ea9e46c
5;to evaluate;;a381a580-4000-11ee-84fc-484d7ea9e46c
6;to excuse;;a381a581-4000-11ee-b269-484d7ea9e46c
7;to explain;;a381a582-4000-11ee-b08d-484d7ea9e46c
8;to express experiences/feelings;;a381a583-4000-11ee-9e39-484d7ea9e46c
9;to express opinions/viewpoints/preferences;;a381a584-4000-11ee-bb7d-484d7ea9e46c
10;to give advice/ask for advice;;a381a585-4000-11ee-a674-484d7ea9e46c
11;to give arguments;;a381a586-4000-11ee-affb-484d7ea9e46c
12;to give directions;;a381a587-4000-11ee-b93c-484d7ea9e46c
13;to inform/to ask for information;;a381a588-4000-11ee-8958-484d7ea9e46c
14;to instruct;;a381a589-4000-11ee-b7ef-484d7ea9e46c
15;to invite;;a381a58a-4000-11ee-8636-484d7ea9e46c
16;to make arrangements;;a381a58b-4000-11ee-8763-484d7ea9e46c
17;to persuade/convince;;a381a58c-4000-11ee-a6a8-484d7ea9e46c
18;to provide support;;a381a58d-4000-11ee-8176-484d7ea9e46c
19;to state advantages/disadvantages;;a381a58e-4000-11ee-a8bf-484d7ea9e46c
20;to summarize;;a381a58f-4000-11ee-8408-484d7ea9e46c
21;to tell a story;;a381a590-4000-11ee-8a28-484d7ea9e46c
22;to thank/apologize;;a381a591-4000-11ee-b3b2-484d7ea9e46c
23;instruktiv;;a381a592-4000-11ee-81f4-484d7ea9e46c
24;deskriptiv;;a381a593-4000-11ee-9777-484d7ea9e46c
25;expositorisch;;a381a594-4000-11ee-a6b0-484d7ea9e46c
26;argumentativ;;a381a595-4000-11ee-be55-484d7ea9e46c
27;narrativ;;a381a596-4000-11ee-bbde-484d7ea9e46c
